,city,province,country,confirm,heal,dead,suspect,update_time
416,乌兰察布,内蒙古,中国,3,1,0,0,2020-02-23 15:38:50
417,乌海,内蒙古,中国,2,0,0,0,2020-02-23 15:38:50
418,兴安盟乌兰浩特,内蒙古,中国,1,0,0,0,2020-02-23 15:38:50
419,银川,宁夏,中国,33,28,0,0,2020-02-23 15:38:50
420,吴忠,宁夏,中国,28,12,0,0,2020-02-23 15:38:50
421,固原,宁夏,中国,5,3,0,0,2020-02-23 15:38:50
422,中卫,宁夏,中国,3,3,0,0,2020-02-23 15:38:50
423,石嘴山,宁夏,中国,1,1,0,0,2020-02-23 15:38:50
424,宁东管委会,宁夏,中国,1,1,0,0,2020-02-23 15:38:50
425,地区待确认,香港,中国,69,11,2,0,2020-02-23 15:38:50
426,地区待确认,台湾,中国,28,2,1,0,2020-02-23 15:38:50
427,西宁,青海,中国,15,15,0,0,2020-02-23 15:38:50
428,海北州,青海,中国,3,3,0,0,2020-02-23 15:38:50
429,地区待确认,澳门,中国,10,6,0,0,2020-02-23 15:38:50
430,地区待确认,西藏,中国,1,1,0,0,2020-02-23 15:38:50
